#Ranger mon chinois : recto de la note, paquet, rang (ordre des nouvelles cartes)
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t1"">jiā</span></div><div style=""font-size:20px"">maison / famille / classificateur (restaurants, entreprises)</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">大＿ <span class=""t4"">dà</span><span class=""t1"">jiā</span> — tout le monde, vous tous<br>回＿ <span class=""t2"">huí</span><span class=""t1"">jiā</span> — rentrer à la maison<br>在＿ <span class=""t4"">zài</span><span class=""t1"">jiā</span> — être à la maison ; à la maison</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	22
我	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	23
你	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	24
您	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	25
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t2"">shén</span></div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">＿么 <span class=""t2"">shén</span><span class=""t0"">me</span> — quoi, que, quel<br>没＿么 <span class=""t2"">méi</span><span class=""t2"">shén</span><span class=""t0"">me</span> — ce n&#x27;est rien / ce n&#x27;est pas grave (réponse à des remerciements ou excuses)<br>干＿么 <span class=""t4"">gàn</span><span class=""t2"">shén</span><span class=""t0"">me</span> — que faire ; qu&#x27;est-ce que (tu) fais ; pourquoi</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	26
下午	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	27
他	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	28
她	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	29
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t0"">me</span></div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">怎＿ <span class=""t3"">zěn</span><span class=""t0"">me</span> — comment, pourquoi<br>什＿ <span class=""t2"">shén</span><span class=""t0"">me</span> — quoi, que, quel<br>没什＿ <span class=""t2"">méi</span><span class=""t2"">shén</span><span class=""t0"">me</span> — ce n&#x27;est rien / ce n&#x27;est pas grave (réponse à des remerciements ou excuses)</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	30
它	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	31
大家	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	32
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t2"">shéi</span></div><div style=""font-size:20px"">qui (pronom interrogatif/indéfini) — ＿都 = n&#x27;importe qui · ＿知道 = qui sait</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">找＿ <span class=""t3"">zhǎo</span><span class=""t2"">shéi</span> — chercher qui</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	33
中国	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	34
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">我 / 你 / 您 / 他 / 她 / 它 / 大家 — pronoms personnels</span><br><br><small style=""color:#888"">HSK 1</small>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	35
你们	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	36
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t3"">nǎ</span></div><div style=""font-size:20px"">quel, lequel, où</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">＿里 <span class=""t3"">nǎ</span><span class=""t3"">lǐ</span> — où (interrogatif de lieu) — ＿里都 = partout<br>＿儿 <span class=""t3"">nǎ</span><span class=""t2"">ér</span> — où (interrogatif, registre oral) — ＿儿都 = partout (oral)<br>＿些 <span class=""t3"">nǎ</span><span class=""t1"">xiē</span> — lesquels / quelles</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	37
认识	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	38
吗	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	39
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t2"">ér</span></div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">哪＿ <span class=""t3"">nǎ</span><span class=""t2"">ér</span> — où (interrogatif, registre oral) — 哪＿都 = partout (oral)<br>女＿ <span class=""t3"">nǚ</span><span class=""t2"">ér</span> — fille (enfant)<br>这＿ <span class=""t4"">zhè</span><span class=""t2"">ér</span> — ici (oral — variante de 这里)</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	40
北京	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	41
Traduisez en chinois (structure : 我 / 你 / 您 / 他 / 她 / 它 / 大家) :<br><br><i>Vous la connaissez ?</i>	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	42
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">动宾短语 — groupe verbe + objet</span><br><br><small style=""color:#888"">HSK 1</small>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	43
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t3"">zěn</span></div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">＿么 <span class=""t3"">zěn</span><span class=""t0"">me</span> — comment, pourquoi<br>＿么样 <span class=""t3"">zěn</span><span class=""t0"">me</span><span class=""t4"">yàng</span> — comment ? / comment ça va ?<br>＿样 <span class=""t3"">zěn</span><span class=""t4"">yàng</span> — comment ; de quelle manière ; quel genre de</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	44
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">主语 — le sujet : nom, pronom ou groupe nominal</span><br><br><small style=""color:#888"">HSK 1</small>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	45
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">宾语 — le complément d'objet, toujours après le verbe</span><br><br><small style=""color:#888"">HSK 1</small>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	46
先生	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	47
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t3"">zǎo</span></div><div style=""font-size:20px"">tôt / le matin</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">＿上 <span class=""t3"">zǎo</span><span class=""t0"">shang</span> — matin<br>＿饭 <span class=""t3"">zǎo</span><span class=""t4"">fàn</span> — petit-déjeuner<br>＿就 <span class=""t3"">zǎo</span><span class=""t4"">jiù</span> — depuis longtemps déjà ; il y a longtemps que</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	48
我们	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	49
不	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	50
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t3"">wǒ</span></div><div style=""font-size:20px"">je, moi</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">＿们 <span class=""t3"">wǒ</span><span class=""t0"">men</span> — nous<br>自＿ <span class=""t4"">zì</span><span class=""t3"">wǒ</span> — soi, soi-même ; le moi</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	51
Trouvez et corrigez l'erreur dans cette phrase :<br><br>我们都不他认识。	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	52
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">动词谓语句 — sujet + verbe + objet, verbe invariable</span><br><br><small style=""color:#888"">HSK 1</small>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	53
谢谢	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	54
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t3"">nǐ</span></div><div style=""font-size:20px"">tu, toi (familier)</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">＿们 <span class=""t3"">nǐ</span><span class=""t0"">men</span> — vous (pluriel)</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	55
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">非主谓句 — phrase sans sujet (下雨了！谢谢！)</span><br><br><small style=""color:#888"">HSK 1</small>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	56
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">Phrase + 吗 — question fermée (oui / non) et façon d'y répondre</span><br><br><small style=""color:#888"">HSK 1</small>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	57
人	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	58
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t2"">nín</span></div><div style=""font-size:20px"">vous (de politesse)</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">＿好 <span class=""t2"">nín</span><span class=""t3"">hǎo</span> — Bonjour (forme de politesse formelle)<br>＿贵姓 <span class=""t2"">nín</span><span class=""t4"">guì</span><span class=""t4"">xìng</span> — quel est votre nom de famille ? (poli)</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	59
Complétez avec la bonne structure (sens : question fermée (oui / non) et façon d'y répondre) :<br><br>你是中国人___？<br><br><i>Tu es chinois ?</i>	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	60
儿子	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	61
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t4"">xià</span></div><div style=""font-size:20px"">descendre ; sous ; prochain ; tomber</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">＿雨 <span class=""t4"">xià</span><span class=""t3"">yǔ</span> — pleuvoir, il pleut<br>一＿ <span class=""t2"">yí</span><span class=""t4"">xià</span> — un peu, un instant (atténuateur)<br>＿午 <span class=""t4"">xià</span><span class=""t3"">wǔ</span> — après-midi</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	62
吧	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	63
呢	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	64
啊	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	65
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t3"">wǔ</span></div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">上＿ <span class=""t4"">shàng</span><span class=""t3"">wǔ</span> — le matin / la matinée<br>下＿ <span class=""t4"">xià</span><span class=""t3"">wǔ</span> — après-midi<br>中＿ <span class=""t1"">zhōng</span><span class=""t3"">wǔ</span> — midi</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	66
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">吗 / 吧 / 呢 / 啊 — particules interrogatives</span><br><br><small style=""color:#888"">HSK 1-2</small>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	67
汉语	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	68
"De quel ton est ce caractère ?<br><br><span class=""hanzi"">墨</span><br><br>Choix : 1er ton / 2e ton / 3e ton / 4e ton"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	69
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t1"">tā</span></div><div style=""font-size:20px"">il, lui</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">＿们 <span class=""t1"">tā</span><span class=""t0"">men</span> — ils, eux (masculin ou mixte)<br>其＿ <span class=""t2"">qí</span><span class=""t1"">tā</span> — les autres / autre / le reste<br>＿人 <span class=""t1"">tā</span><span class=""t2"">rén</span> — autrui, les autres</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	70
